Nombre,Frecuencia,Edad Media (*),Gender,Is_Compound,Percentage,Popularity,Character_Count,Syllable_Count
ANTONIO,627738,57.5,Male,False,3.9321291820112942,1,7,3
MANUEL,553117,55.9,Male,False,3.464705811606978,2,6,2
JOSE,531575,62.4,Male,False,3.3297674665667105,3,4,2
FRANCISCO,457139,59.1,Male,False,2.8635029297819488,4,9,3
DAVID,370270,33.7,Male,False,2.3193585097975937,5,5,2
JUAN,318707,56.5,Male,False,1.9963696561483828,6,4,1
JAVIER,308708,36.1,Male,False,1.9337362650028236,7,6,2
DANIEL,304423,29.5,Male,False,1.90689517278773,8,6,2
CARLOS,275908,41.4,Male,False,1.7282781962385136,9,6,2
ALEJANDRO,267256,27.8,Male,False,1.674082366636416,10,9,4
JESUS,265648,50.4,Male,False,1.664009910094556,11,5,2
MIGUEL,237777,47.4,Male,False,1.4894269273344922,12,6,2
RAFAEL,225202,52.5,Male,False,1.4106575610323215,13,6,2
PABLO,223789,28.9,Male,False,1.4018065777651274,14,5,2
PEDRO,210581,54.8,Male,False,1.319072121294426,15,5,2
ANGEL,210316,51.1,Male,False,1.3174121704339827,16,5,2
SERGIO,209553,31.4,Male,False,1.312632764749008,17,6,2
FERNANDO,197189,51.0,Male,False,1.2351850951696808,18,8,3
JORGE,193979,36.9,Male,False,1.2150777658790273,19,5,2
LUIS,182300,53.2,Male,False,1.1419209126748089,20,4,1
ALBERTO,178696,39.7,Male,False,1.1193455809727788,21,7,3
ALVARO,165999,24.3,Male,False,1.039812010878253,22,6,3
ADRIAN,160291,21.7,Male,False,1.0040572957408542,23,6,2
DIEGO,155468,33.3,Male,False,0.9738461900807852,24,5,2
RAUL,141542,34.5,Male,False,0.8866142063731088,25,4,1
IVAN,136367,28.4,Male,False,0.8541981848531301,26,4,2
RUBEN,130060,30.4,Male,False,0.8146913543745782,27,5,2
OSCAR,123375,37.4,Male,False,0.7728167449328277,28,5,2
ENRIQUE,123095,51.5,Male,False,0.7710628345897178,29,7,3
RAMON,113293,59.1,Male,False,0.7096634446498469,30,5,2
ANDRES,112075,48.5,Male,False,0.7020339346573184,31,6,2
SANTIAGO,108916,48.7,Male,False,0.6822460676077314,32,8,3
VICENTE,108881,60.4,Male,False,0.6820268288148427,33,7,3
MARIO,108579,26.0,Male,False,0.6801351112304884,34,5,2
VICTOR,106212,32.3,Male,False,0.6653083048656981,35,6,2
JOAQUIN,105475,55.4,Male,False,0.6606917622840122,36,7,2
EDUARDO,103381,46.7,Male,False,0.6475750185037541,37,7,3
ROBERTO,97459,43.1,Male,False,0.6104798147469783,38,7,3
MARCOS,96470,26.6,Male,False,0.6042847528564935,39,6,2
JAIME,95593,41.9,Male,False,0.5987912551032527,40,5,2
HUGO,92792,12.3,Male,False,0.581245887706642,41,4,2
IGNACIO,89087,41.5,Male,False,0.5580378954879904,42,7,3
JORDI,82409,42.3,Male,False,0.5162071338048179,43,5,2
ALFONSO,80493,52.7,Male,False,0.5042053758855368,44,7,3
RICARDO,78563,50.9,Male,False,0.4921159224491002,45,7,3
SALVADOR,76381,55.1,Male,False,0.4784479497038647,46,8,3
MARC,73307,22.5,Male,False,0.4591925197227218,47,4,1
GUILLERMO,73180,35.1,Male,False,0.4583969961028112,48,9,3
MOHAMED,72795,35.7,Male,False,0.455985369381035,49,7,3
GABRIEL,72447,37.0,Male,False,0.4538055093831697,50,7,2
MARTIN,70905,25.5,Male,False,0.4441464745650427,51,6,2
GONZALO,69409,31.4,Male,False,0.4347755821604266,52,7,3
EMILIO,67708,58.2,Male,False,0.4241205768260336,53,6,3
JULIO,63347,55.5,Male,False,0.396803423232096,54,5,2
JULIAN,62414,57.8,Male,False,0.3909591434102331,55,6,2
TOMAS,61593,54.2,Male,False,0.3858164277256142,56,5,2
NICOLAS,61194,28.9,Male,False,0.3833171054866826,57,7,3
AGUSTIN,58923,57.6,Male,False,0.3690916398109585,58,7,3
LUCAS,58007,14.7,Male,False,0.3633538474027845,59,5,2
SAMUEL,57873,22.6,Male,False,0.3625144760242961,60,6,2
ISMAEL,56347,31.4,Male,False,0.3529556646543468,61,6,2
CRISTIAN,55441,26.6,Male,False,0.3472805119012839,62,8,2
JOAN,54350,42.7,Male,False,0.3404465255286661,63,4,1
AITOR,52608,25.2,Male,False,0.3295346976083178,64,5,2
FELIX,51854,59.1,Male,False,0.324811667612943,65,5,2
HECTOR,50849,23.2,Male,False,0.3185163822742805,66,6,2
ALEX,48836,15.5,Male,False,0.305907019700422,67,4,2
IKER,48407,16.8,Male,False,0.3032197784961571,68,4,2
MATEO,44434,16.3,Male,False,0.278333043520529,69,5,2
SEBASTIAN,42986,49.9,Male,False,0.269262821460446,70,9,3
CESAR,42813,41.9,Male,False,0.2681791554270245,71,5,2
JOSEP,42744,54.9,Male,False,0.2677469418067582,72,5,2
ALFREDO,41358,54.9,Male,False,0.2590650856083638,73,7,3
MARIANO,41248,62.0,Male,False,0.258376049402142,74,7,3
RODRIGO,41126,24.1,Male,False,0.257611845609787,75,7,3
DOMINGO,40256,63.0,Male,False,0.2521621956151239,76,7,3
FELIPE,38815,54.7,Male,False,0.2431358213136187,77,6,3
XAVIER,34008,37.3,Male,False,0.2130249391017273,78,6,2
ALBERT,33807,36.5,Male,False,0.2117658820339948,79,6,2
PAU,33525,18.4,Male,False,0.2099994437598626,80,3,1
AARON,31895,16.6,Male,False,0.1997891799767581,81,5,2
IZAN,31677,9.5,Male,False,0.1984236354953368,82,4,2
ERIC,30914,16.0,Male,False,0.1936442298103622,83,4,2
GREGORIO,30522,63.2,Male,False,0.1911887553300082,84,8,3
BORJA,30404,28.6,Male,False,0.1904496073996976,85,5,2
LORENZO,30320,54.8,Male,False,0.1899234342967646,86,7,3
MOHAMMED,30282,38.1,Male,False,0.1896854036073425,87,8,3
ARTURO,29266,44.3,Male,False,0.1833212146480578,88,6,3
ESTEBAN,29133,51.7,Male,False,0.1824881072350806,89,7,3
CRISTOBAL,28615,54.6,Male,False,0.1792433731003271,90,9,3
JOEL,28255,17.2,Male,False,0.1769883455163286,91,4,1
LEO,27988,5.8,Male,False,0.175315866724863,92,3,1
ISAAC,27870,31.3,Male,False,0.1745767187945524,93,5,2
