nombre,gender,decade,persons
ANTONIO,Male,< 1930,3130
ANTONIO,Male,1930-1940,35973
ANTONIO,Male,1940-1950,96828
ANTONIO,Male,1950-1960,125710
ANTONIO,Male,1960-1970,129158
ANTONIO,Male,1970-1980,88892
ANTONIO,Male,1980-1990,47714
ANTONIO,Male,1990-2000,30154
ANTONIO,Male,2000-2010,24328
ANTONIO,Male,2010-2019,16240
ANTONIO,Male,2020-2029,4877
MANUEL,Male,< 1930,2820
MANUEL,Male,1930-1940,32390
MANUEL,Male,1940-1950,83327
MANUEL,Male,1950-1960,107715
MANUEL,Male,1960-1970,108005
MANUEL,Male,1970-1980,70013
MANUEL,Male,1980-1990,39861
MANUEL,Male,1990-2000,27492
MANUEL,Male,2000-2010,27760
MANUEL,Male,2010-2019,25244
MANUEL,Male,2020-2029,9771
JOSE,Male,< 1930,4503
JOSE,Male,1930-1940,47557
JOSE,Male,1940-1950,108029
JOSE,Male,1950-1960,118654
JOSE,Male,1960-1970,97431
JOSE,Male,1970-1980,50116
JOSE,Male,1980-1990,27015
JOSE,Male,1990-2000,17116
JOSE,Male,2000-2010,15732
JOSE,Male,2010-2019,11783
JOSE,Male,2020-2029,3795
