nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
ANTONIO,Male,462,Cendea de Olza/Oltza Zendea,8.667,‰,,municipio,
ANTONIO,Male,465,Murchante,9.786,‰,21.0,municipio,Navarra
ANTONIO,Male,468,Murillo el Fruto,27.397,‰,,municipio,
ANTONIO,Male,478,Olazti/Olazagutía,6.72,‰,5.0,municipio,Navarra
ANTONIO,Male,480,Olite/Erriberri,11.074,‰,23.0,municipio,Navarra
ANTONIO,Male,481,Monteagudo,10.657,‰,,municipio,"Navarra, Teruel, Soria, Cuenca"
ANTONIO,Male,484,Logroño,10.243,‰,730.0,municipio,La Rioja
ANTONIO,Male,485,Málaga,40.537,‰,,municipio,"Málaga, Guadalajara"
ANTONIO,Male,486,Ourense,28.022,‰,1330.0,municipio,Ourense
ANTONIO,Male,487,Pontevedra,15.003,‰,589.0,municipio,Pontevedra
ANTONIO,Male,488,Salamanca,17.217,‰,1121.0,municipio,Salamanca
ANTONIO,Male,489,Santander,14.536,‰,1162.0,municipio,Cantabria
ANTONIO,Male,490,Soria,11.825,‰,227.0,municipio,Soria
ANTONIO,Male,491,Tarragona,21.691,‰,1490.0,municipio,Tarragona
ANTONIO,Male,492,Teruel,18.274,‰,317.0,municipio,Teruel
ANTONIO,Male,493,Valencia,19.273,‰,,municipio,"Valencia/València, Cáceres, Badajoz, León"
ANTONIO,Male,494,Zaragoza,17.06,‰,5645.0,municipio,Zaragoza
ANTONIO,Male,495,Valladolid,14.777,‰,2075.0,municipio,Valladolid
ANTONIO,Male,498,Lerín,5.382,‰,5.0,municipio,Navarra
ANTONIO,Male,499,Lesaka,7.283,‰,10.0,municipio,Navarra
ANTONIO,Male,501,Liédena,27.322,‰,5.0,municipio,Navarra
ANTONIO,Male,503,Lodosa,21.591,‰,54.0,municipio,Navarra
ANTONIO,Male,505,Lumbier,7.153,‰,5.0,municipio,Navarra
ANTONIO,Male,509,Marcilla,8.82,‰,,municipio,"Navarra, Palencia"
ANTONIO,Male,511,Mendavia,14.781,‰,26.0,municipio,Navarra
ANTONIO,Male,514,Milagro,11.892,‰,22.0,municipio,Navarra
ANTONIO,Male,516,Miranda de Arga,16.632,‰,,municipio,
ANTONIO,Male,518,Ateca,22.321,‰,20.0,municipio,Zaragoza
ANTONIO,Male,521,Belchite,23.468,‰,18.0,municipio,Zaragoza
ANTONIO,Male,522,Belmonte de Gracián,48.077,‰,,municipio,
ANTONIO,Male,524,Boquiñeni,36.939,‰,14.0,municipio,Zaragoza
ANTONIO,Male,525,Botorrita,18.987,‰,6.0,municipio,Zaragoza
ANTONIO,Male,526,Brea de Aragón,9.032,‰,,municipio,
ANTONIO,Male,528,Sástago,21.779,‰,12.0,municipio,Zaragoza
ANTONIO,Male,531,Sobradiel,14.519,‰,8.0,municipio,Zaragoza
ANTONIO,Male,532,Sos del Rey Católico,19.293,‰,,municipio,
ANTONIO,Male,533,Terrer,22.364,‰,7.0,municipio,Zaragoza
ANTONIO,Male,539,Trasobares,66.667,‰,5.0,municipio,Zaragoza
ANTONIO,Male,541,Utebo,19.286,‰,182.0,municipio,Zaragoza
ANTONIO,Male,550,Villanueva de Gállego,20.494,‰,,municipio,
ANTONIO,Male,554,Zuera,21.661,‰,96.0,municipio,Zaragoza
