nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
ANTONIO,Male,2,Araba/Álava,9.534,‰,1589.0,provincia,Araba/Álava
ANTONIO,Male,3,Albacete,40.819,‰,7950.0,provincia,Albacete
ANTONIO,Male,4,Alicante/Alacant,26.676,‰,26270.0,provincia,Alicante/Alacant
ANTONIO,Male,5,Almería,35.471,‰,13802.0,provincia,Almería
ANTONIO,Male,6,Ávila,19.493,‰,1571.0,provincia,Ávila
ANTONIO,Male,7,Badajoz,42.65,‰,14029.0,provincia,Badajoz
ANTONIO,Male,8,"Balears, Illes",31.796,‰,,provincia,"Balears, Illes"
ANTONIO,Male,9,Barcelona,22.808,‰,65475.0,provincia,Barcelona
ANTONIO,Male,10,Burgos,10.844,‰,1950.0,provincia,Burgos
ANTONIO,Male,11,Cáceres,25.848,‰,4982.0,provincia,Cáceres
ANTONIO,Male,12,Cádiz,42.723,‰,26469.0,provincia,Cádiz
ANTONIO,Male,13,Castellón/Castelló,19.495,‰,5958.0,provincia,Castellón/Castelló
ANTONIO,Male,14,Ciudad Real,32.078,‰,,provincia,Ciudad Real
ANTONIO,Male,15,Córdoba,62.822,‰,23788.0,provincia,Córdoba
ANTONIO,Male,16,"Coruña, A",20.576,‰,,provincia,"Coruña, A"
ANTONIO,Male,17,Cuenca,23.405,‰,2349.0,provincia,Cuenca
ANTONIO,Male,18,Girona,16.3,‰,6705.0,provincia,Girona
ANTONIO,Male,19,Granada,48.567,‰,22463.0,provincia,Granada
ANTONIO,Male,20,Guadalajara,18.777,‰,2667.0,provincia,Guadalajara
ANTONIO,Male,21,Gipuzkoa,9.094,‰,3240.0,provincia,Gipuzkoa
ANTONIO,Male,22,Huelva,36.806,‰,9778.0,provincia,Huelva
ANTONIO,Male,23,Huesca,26.459,‰,3069.0,provincia,Huesca
ANTONIO,Male,24,Jaén,54.246,‰,16625.0,provincia,Jaén
ANTONIO,Male,25,León,16.646,‰,3626.0,provincia,León
ANTONIO,Male,26,Lleida,19.974,‰,4615.0,provincia,Lleida
ANTONIO,Male,27,"Rioja, La",11.151,‰,,provincia,"Rioja, La"
ANTONIO,Male,28,Lugo,26.205,‰,4133.0,provincia,Lugo
ANTONIO,Male,29,Madrid,18.82,‰,63163.0,provincia,Madrid
ANTONIO,Male,30,Málaga,38.566,‰,33442.0,provincia,Málaga
ANTONIO,Male,31,Murcia,42.158,‰,33138.0,provincia,Murcia
ANTONIO,Male,32,Navarra,8.809,‰,2959.0,provincia,Navarra
ANTONIO,Male,33,Asturias,11.747,‰,5656.0,provincia,Asturias
ANTONIO,Male,34,Palencia,11.067,‰,867.0,provincia,Palencia
ANTONIO,Male,35,"Palmas, Las",13.696,‰,,provincia,"Palmas, Las"
ANTONIO,Male,36,Pontevedra,19.334,‰,8842.0,provincia,Pontevedra
ANTONIO,Male,37,Salamanca,17.6,‰,2793.0,provincia,Salamanca
ANTONIO,Male,38,Santa Cruz de Tenerife,10.539,‰,,provincia,Santa Cruz de Tenerife
ANTONIO,Male,39,Cantabria,13.89,‰,3977.0,provincia,Cantabria
ANTONIO,Male,40,Segovia,14.941,‰,1173.0,provincia,Segovia
ANTONIO,Male,41,Sevilla,49.581,‰,47611.0,provincia,Sevilla
ANTONIO,Male,42,Soria,14.41,‰,659.0,provincia,Soria
ANTONIO,Male,43,Tarragona,20.449,‰,8805.0,provincia,Tarragona
ANTONIO,Male,44,Teruel,21.655,‰,1486.0,provincia,Teruel
ANTONIO,Male,45,Toledo,20.092,‰,7507.0,provincia,Toledo
ANTONIO,Male,46,Valencia/València,21.565,‰,28583.0,provincia,Valencia/València
ANTONIO,Male,47,Valladolid,13.407,‰,3426.0,provincia,Valladolid
ANTONIO,Male,48,Bizkaia,9.443,‰,5293.0,provincia,Bizkaia
ANTONIO,Male,49,Zamora,21.262,‰,1753.0,provincia,Zamora
ANTONIO,Male,50,Zaragoza,18.039,‰,8725.0,provincia,Zaragoza
ANTONIO,Male,51,Ceuta,17.828,‰,748.0,provincia,Ceuta
ANTONIO,Male,52,Melilla,13.872,‰,600.0,provincia,Melilla
ANTONIO,Male,53,Ourense,33.958,‰,4964.0,provincia,Ourense
ANTONIO,Male,16473,Desconocido,25.308,‰,,provincia,Desconocido
MANUEL,Male,2,Araba/Álava,8.196,‰,1366.0,provincia,Araba/Álava
MANUEL,Male,3,Albacete,22.73,‰,4427.0,provincia,Albacete
MANUEL,Male,4,Alicante/Alacant,18.093,‰,17818.0,provincia,Alicante/Alacant
MANUEL,Male,5,Almería,23.23,‰,9039.0,provincia,Almería
MANUEL,Male,6,Ávila,12.631,‰,1018.0,provincia,Ávila
