nombre_id,nombre,gender,region_id,region_name,percentage,unidad,persons,region_type,parent_region_name
VICTORIANO-m,VICTORIANO,Male,2,Araba/Álava,0.6,‰,100,provincia,Araba/Álava
VICTORIANO-m,VICTORIANO,Male,3,Albacete,0.611,‰,119,provincia,Albacete
VICTORIANO-m,VICTORIANO,Male,4,Alicante/Alacant,0.3,‰,295,provincia,Alicante/Alacant
VICTORIANO-m,VICTORIANO,Male,5,Almería,0.278,‰,108,provincia,Almería
VICTORIANO-m,VICTORIANO,Male,6,Ávila,1.042,‰,84,provincia,Ávila
VICTORIANO-m,VICTORIANO,Male,7,Badajoz,1.575,‰,518,provincia,Badajoz
VICTORIANO-m,VICTORIANO,Male,8,"Balears, Illes",0.252,‰,,provincia,"Balears, Illes"
VICTORIANO-m,VICTORIANO,Male,9,Barcelona,0.282,‰,810,provincia,Barcelona
VICTORIANO-m,VICTORIANO,Male,10,Burgos,0.64,‰,115,provincia,Burgos
VICTORIANO-m,VICTORIANO,Male,11,Cáceres,1.364,‰,263,provincia,Cáceres
VICTORIANO-m,VICTORIANO,Male,12,Cádiz,0.308,‰,191,provincia,Cádiz
VICTORIANO-m,VICTORIANO,Male,13,Castellón/Castelló,0.308,‰,94,provincia,Castellón/Castelló
VICTORIANO-m,VICTORIANO,Male,14,Ciudad Real,1.432,‰,,provincia,Ciudad Real
VICTORIANO-m,VICTORIANO,Male,15,Córdoba,0.515,‰,195,provincia,Córdoba
VICTORIANO-m,VICTORIANO,Male,16,"Coruña, A",0.281,‰,,provincia,"Coruña, A"
VICTORIANO-m,VICTORIANO,Male,17,Cuenca,0.986,‰,99,provincia,Cuenca
VICTORIANO-m,VICTORIANO,Male,18,Girona,0.25,‰,103,provincia,Girona
VICTORIANO-m,VICTORIANO,Male,19,Granada,0.478,‰,221,provincia,Granada
VICTORIANO-m,VICTORIANO,Male,20,Guadalajara,0.521,‰,74,provincia,Guadalajara
VICTORIANO-m,VICTORIANO,Male,21,Gipuzkoa,0.533,‰,190,provincia,Gipuzkoa
VICTORIANO-m,VICTORIANO,Male,22,Huelva,0.576,‰,153,provincia,Huelva
VICTORIANO-m,VICTORIANO,Male,23,Huesca,0.241,‰,28,provincia,Huesca
VICTORIANO-m,VICTORIANO,Male,24,Jaén,0.434,‰,133,provincia,Jaén
VICTORIANO-m,VICTORIANO,Male,25,León,0.537,‰,117,provincia,León
VICTORIANO-m,VICTORIANO,Male,26,Lleida,0.156,‰,36,provincia,Lleida
VICTORIANO-m,VICTORIANO,Male,27,"Rioja, La",0.656,‰,,provincia,"Rioja, La"
VICTORIANO-m,VICTORIANO,Male,28,Lugo,0.431,‰,68,provincia,Lugo
VICTORIANO-m,VICTORIANO,Male,29,Madrid,0.507,‰,1702,provincia,Madrid
VICTORIANO-m,VICTORIANO,Male,30,Málaga,0.291,‰,252,provincia,Málaga
VICTORIANO-m,VICTORIANO,Male,31,Murcia,0.357,‰,281,provincia,Murcia
VICTORIANO-m,VICTORIANO,Male,32,Navarra,0.402,‰,135,provincia,Navarra
VICTORIANO-m,VICTORIANO,Male,33,Asturias,0.334,‰,161,provincia,Asturias
VICTORIANO-m,VICTORIANO,Male,34,Palencia,0.779,‰,61,provincia,Palencia
VICTORIANO-m,VICTORIANO,Male,35,"Palmas, Las",0.347,‰,,provincia,"Palmas, Las"
VICTORIANO-m,VICTORIANO,Male,36,Pontevedra,0.402,‰,184,provincia,Pontevedra
VICTORIANO-m,VICTORIANO,Male,37,Salamanca,1.367,‰,217,provincia,Salamanca
VICTORIANO-m,VICTORIANO,Male,38,Santa Cruz de Tenerife,0.354,‰,,provincia,Santa Cruz de Tenerife
VICTORIANO-m,VICTORIANO,Male,39,Cantabria,0.66,‰,189,provincia,Cantabria
VICTORIANO-m,VICTORIANO,Male,40,Segovia,0.777,‰,61,provincia,Segovia
VICTORIANO-m,VICTORIANO,Male,41,Sevilla,0.314,‰,302,provincia,Sevilla
VICTORIANO-m,VICTORIANO,Male,42,Soria,0.94,‰,43,provincia,Soria
VICTORIANO-m,VICTORIANO,Male,43,Tarragona,0.279,‰,120,provincia,Tarragona
VICTORIANO-m,VICTORIANO,Male,44,Teruel,0.627,‰,43,provincia,Teruel
VICTORIANO-m,VICTORIANO,Male,45,Toledo,0.883,‰,330,provincia,Toledo
VICTORIANO-m,VICTORIANO,Male,46,Valencia/València,0.339,‰,449,provincia,Valencia/València
VICTORIANO-m,VICTORIANO,Male,47,Valladolid,0.52,‰,133,provincia,Valladolid
VICTORIANO-m,VICTORIANO,Male,48,Bizkaia,0.448,‰,251,provincia,Bizkaia
VICTORIANO-m,VICTORIANO,Male,49,Zamora,1.14,‰,94,provincia,Zamora
VICTORIANO-m,VICTORIANO,Male,50,Zaragoza,0.329,‰,159,provincia,Zaragoza
VICTORIANO-m,VICTORIANO,Male,51,Ceuta,0.167,‰,7,provincia,Ceuta
VICTORIANO-m,VICTORIANO,Male,53,Ourense,0.246,‰,36,provincia,Ourense
VICTORIANO-m,VICTORIANO,Male,16473,Desconocido,0.44,‰,,provincia,Desconocido
