nombre_id,nombre,gender,region_id,region_name,percentage,unidad,persons,region_type
CARLOS-m,CARLOS,Male,2,Araba/Álava,8.19,‰,2260,provincia
CARLOS-m,CARLOS,Male,3,Albacete,13.463,‰,3715,provincia
CARLOS-m,CARLOS,Male,4,Alicante/Alacant,10.097,‰,2786,provincia
CARLOS-m,CARLOS,Male,5,Almería,5.739,‰,1583,provincia
CARLOS-m,CARLOS,Male,6,Ávila,15.919,‰,4392,provincia
CARLOS-m,CARLOS,Male,7,Badajoz,13.553,‰,3739,provincia
CARLOS-m,CARLOS,Male,8,"Balears, Illes",8.918,‰,2461,provincia
CARLOS-m,CARLOS,Male,9,Barcelona,11.795,‰,3254,provincia
CARLOS-m,CARLOS,Male,10,Burgos,13.925,‰,3842,provincia
CARLOS-m,CARLOS,Male,11,Cáceres,13.541,‰,3736,provincia
CARLOS-m,CARLOS,Male,12,Cádiz,8.322,‰,2296,provincia
CARLOS-m,CARLOS,Male,13,Castellón/Castelló,13.92,‰,3841,provincia
CARLOS-m,CARLOS,Male,14,Ciudad Real,14.687,‰,4052,provincia
CARLOS-m,CARLOS,Male,15,Córdoba,9.418,‰,2599,provincia
CARLOS-m,CARLOS,Male,16,"Coruña, A",13.139,‰,3625,provincia
CARLOS-m,CARLOS,Male,17,Cuenca,14.049,‰,3876,provincia
CARLOS-m,CARLOS,Male,18,Girona,7.563,‰,2087,provincia
CARLOS-m,CARLOS,Male,19,Granada,8.638,‰,2383,provincia
CARLOS-m,CARLOS,Male,20,Guadalajara,15.074,‰,4159,provincia
CARLOS-m,CARLOS,Male,21,Gipuzkoa,5.38,‰,1484,provincia
CARLOS-m,CARLOS,Male,22,Huelva,8.33,‰,2298,provincia
CARLOS-m,CARLOS,Male,23,Huesca,16.975,‰,4684,provincia
CARLOS-m,CARLOS,Male,24,Jaén,8.138,‰,2245,provincia
CARLOS-m,CARLOS,Male,25,León,13.07,‰,3606,provincia
CARLOS-m,CARLOS,Male,26,Lleida,7.565,‰,2087,provincia
CARLOS-m,CARLOS,Male,27,"Rioja, La",12.533,‰,3458,provincia
CARLOS-m,CARLOS,Male,28,Lugo,15.306,‰,4223,provincia
CARLOS-m,CARLOS,Male,29,Madrid,16.058,‰,4431,provincia
CARLOS-m,CARLOS,Male,30,Málaga,9.101,‰,2511,provincia
CARLOS-m,CARLOS,Male,31,Murcia,6.207,‰,1713,provincia
CARLOS-m,CARLOS,Male,32,Navarra,9.949,‰,2745,provincia
CARLOS-m,CARLOS,Male,33,Asturias,11.236,‰,3100,provincia
CARLOS-m,CARLOS,Male,34,Palencia,14.066,‰,3881,provincia
CARLOS-m,CARLOS,Male,35,"Palmas, Las",7.013,‰,1935,provincia
CARLOS-m,CARLOS,Male,36,Pontevedra,14.027,‰,3870,provincia
CARLOS-m,CARLOS,Male,37,Salamanca,13.699,‰,3780,provincia
CARLOS-m,CARLOS,Male,38,Santa Cruz de Tenerife,6.516,‰,1798,provincia
CARLOS-m,CARLOS,Male,39,Cantabria,12.538,‰,3459,provincia
CARLOS-m,CARLOS,Male,40,Segovia,15.527,‰,4284,provincia
CARLOS-m,CARLOS,Male,41,Sevilla,10.675,‰,2945,provincia
CARLOS-m,CARLOS,Male,42,Soria,15.197,‰,4193,provincia
CARLOS-m,CARLOS,Male,43,Tarragona,9.027,‰,2491,provincia
CARLOS-m,CARLOS,Male,44,Teruel,16.759,‰,4624,provincia
CARLOS-m,CARLOS,Male,45,Toledo,14.523,‰,4007,provincia
CARLOS-m,CARLOS,Male,46,Valencia/València,14.146,‰,3903,provincia
CARLOS-m,CARLOS,Male,47,Valladolid,15.536,‰,4287,provincia
CARLOS-m,CARLOS,Male,48,Bizkaia,6.71,‰,1851,provincia
CARLOS-m,CARLOS,Male,49,Zamora,12.578,‰,3470,provincia
CARLOS-m,CARLOS,Male,50,Zaragoza,15.277,‰,4215,provincia
CARLOS-m,CARLOS,Male,51,Ceuta,6.554,‰,1808,provincia
CARLOS-m,CARLOS,Male,52,Melilla,7.214,‰,1990,provincia
CARLOS-m,CARLOS,Male,53,Ourense,12.758,‰,3520,provincia
CARLOS-m,CARLOS,Male,16473,Desconocido,11.519,‰,3178,provincia
