nombre_id,nombre,gender,decade,persons
VICTORIANO-m,VICTORIANO,Male,< 1930,127
VICTORIANO-m,VICTORIANO,Male,1930-1940,1114
VICTORIANO-m,VICTORIANO,Male,1940-1950,2341
VICTORIANO-m,VICTORIANO,Male,1950-1960,2625
VICTORIANO-m,VICTORIANO,Male,1960-1970,2329
VICTORIANO-m,VICTORIANO,Male,1970-1980,1191
VICTORIANO-m,VICTORIANO,Male,1980-1990,432
VICTORIANO-m,VICTORIANO,Male,1990-2000,142
VICTORIANO-m,VICTORIANO,Male,2000-2010,107
VICTORIANO-m,VICTORIANO,Male,2010-2019,48
VICTORIANO-m,VICTORIANO,Male,2020-2029,16
