nombre_id,nombre,gender,region_id,region_name,percentage,unidad,persons,region_type
VICTORIANO-m,VICTORIANO,Male,484,Logroño,0.561,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,485,Málaga,0.327,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,486,Ourense,0.253,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,487,Pontevedra,0.458,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,488,Salamanca,1.106,‰,12,municipio
VICTORIANO-m,VICTORIANO,Male,489,Santander,0.688,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,490,Soria,0.573,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,491,Tarragona,0.247,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,492,Teruel,0.634,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,493,Valencia,0.309,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,494,Zaragoza,0.314,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,495,Valladolid,0.555,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,541,Utebo,0.53,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,559,Albacete,0.294,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,560,Almería,0.255,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,561,Ávila,0.604,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,562,Badajoz,1.066,‰,12,municipio
VICTORIANO-m,VICTORIANO,Male,563,Barcelona,0.228,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,564,Burgos,0.464,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,565,Ciudad Real,0.865,‰,10,municipio
VICTORIANO-m,VICTORIANO,Male,566,Cuenca,0.748,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,567,Girona,0.292,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,568,Granada,0.371,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,569,León,0.466,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,570,Lugo,0.457,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,571,Vitoria-Gasteiz,0.575,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,572,Donostia/San Sebastián,0.381,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,638,Zamora,0.943,‰,11,municipio
VICTORIANO-m,VICTORIANO,Male,697,"Zarza, La",4.142,‰,46,municipio
VICTORIANO-m,VICTORIANO,Male,707,Etxebarri,0.838,‰,9,municipio
VICTORIANO-m,VICTORIANO,Male,785,Sagunto/Sagunt,0.486,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,795,Utiel,0.861,‰,10,municipio
VICTORIANO-m,VICTORIANO,Male,833,Laguna de Duero,0.618,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,876,"Puebla de Montalbán, La",1.475,‰,17,municipio
VICTORIANO-m,VICTORIANO,Male,887,Talavera de la Reina,0.685,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,888,Toledo,0.487,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,929,Bétera,0.582,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,932,Burjassot,0.709,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,1133,Real Sitio de San Ildefonso,1.966,‰,22,municipio
VICTORIANO-m,VICTORIANO,Male,1150,Dos Hermanas,0.175,‰,2,municipio
VICTORIANO-m,VICTORIANO,Male,1155,Huévar del Aljarafe,3.474,‰,39,municipio
VICTORIANO-m,VICTORIANO,Male,1167,"Rinconada, La",0.451,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,1172,Utrera,0.349,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,1176,"Viso del Alcor, El",0.626,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,1235,Camargo,0.471,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,1354,Santa Marta de Tormes,0.703,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,1391,Arona,0.158,‰,2,municipio
VICTORIANO-m,VICTORIANO,Male,1398,Icod de los Vinos,0.5,‰,6,municipio
VICTORIANO-m,VICTORIANO,Male,1400,"Orotava, La",0.91,‰,10,municipio
VICTORIANO-m,VICTORIANO,Male,1402,"Realejos, Los",0.323,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,1406,Santa Úrsula,0.666,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,1407,"Sauzal, El",1.735,‰,19,municipio
VICTORIANO-m,VICTORIANO,Male,1408,Tacoronte,0.486,‰,5,municipio
VICTORIANO-m,VICTORIANO,Male,1412,Baztan,1.759,‰,20,municipio
VICTORIANO-m,VICTORIANO,Male,1422,Burlada/Burlata,0.69,‰,8,municipio
VICTORIANO-m,VICTORIANO,Male,1432,"Oliva, La",0.587,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,1433,"Palmas de Gran Canaria, Las",0.281,‰,3,municipio
VICTORIANO-m,VICTORIANO,Male,1434,San Bartolomé de Tirajana,0.313,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,1435,Santa Lucía de Tirajana,0.619,‰,7,municipio
VICTORIANO-m,VICTORIANO,Male,1438,Alba de Tormes,2.323,‰,26,municipio
VICTORIANO-m,VICTORIANO,Male,1477,Ciudad Rodrigo,2.117,‰,24,municipio
VICTORIANO-m,VICTORIANO,Male,1524,Oviedo,0.353,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,1608,Roquetas de Mar,0.32,‰,4,municipio
VICTORIANO-m,VICTORIANO,Male,1631,Tarazona de la Mancha,2.855,‰,32,municipio
