Nombre,Frecuencia,Edad Media (*),Gender
ANTONIO,627738,57.5,Male
MANUEL,553117,55.9,Male
JOSE,531575,62.4,Male
FRANCISCO,457139,59.1,Male
DAVID,370270,33.7,Male
JUAN,318707,56.5,Male
JAVIER,308708,36.1,Male
DANIEL,304423,29.5,Male
JOSE ANTONIO,300789,52.6,Male
FRANCISCO JAVIER,284792,48.3,Male
JOSE LUIS,281788,56.2,Male
CARLOS,275908,41.4,Male
ALEJANDRO,267256,27.8,Male
JESUS,265648,50.4,Male
MIGUEL,237777,47.4,Male
JOSE MANUEL,237606,50.3,Male
MIGUEL ANGEL,227282,46.9,Male
RAFAEL,225202,52.5,Male
PABLO,223789,28.9,Male
PEDRO,210581,54.8,Male
ANGEL,210316,51.1,Male
SERGIO,209553,31.4,Male
FERNANDO,197189,51.0,Male
JOSE MARIA,196892,56.3,Male
JORGE,193979,36.9,Male
LUIS,182300,53.2,Male
ALBERTO,178696,39.7,Male
ALVARO,165999,24.3,Male
JUAN CARLOS,160378,49.1,Male
ADRIAN,160291,21.7,Male
DIEGO,155468,33.3,Male
JUAN JOSE,150145,51.1,Male
RAUL,141542,34.5,Male
IVAN,136367,28.4,Male
RUBEN,130060,30.4,Male
JUAN ANTONIO,129963,51.7,Male
OSCAR,123375,37.4,Male
ENRIQUE,123095,51.5,Male
RAMON,113293,59.1,Male
ANDRES,112075,48.5,Male
JUAN MANUEL,111776,48.7,Male
SANTIAGO,108916,48.7,Male
VICENTE,108881,60.4,Male
MARIO,108579,26.0,Male
VICTOR,106212,32.3,Male
JOAQUIN,105475,55.4,Male
EDUARDO,103381,46.7,Male
ROBERTO,97459,43.1,Male
MARCOS,96470,26.6,Male
JAIME,95593,41.9,Male
FRANCISCO JOSE,95104,45.1,Male
HUGO,92792,12.3,Male
IGNACIO,89087,41.5,Male
JORDI,82409,42.3,Male
ALFONSO,80493,52.7,Male
RICARDO,78563,50.9,Male
SALVADOR,76381,55.1,Male
MARC,73307,22.5,Male
GUILLERMO,73180,35.1,Male
MOHAMED,72795,35.7,Male
GABRIEL,72447,37.0,Male
MARTIN,70905,25.5,Male
GONZALO,69409,31.4,Male
EMILIO,67708,58.2,Male
JOSE MIGUEL,64529,48.0,Male
JULIO,63347,55.5,Male
JULIAN,62414,57.8,Male
TOMAS,61593,54.2,Male
NICOLAS,61194,28.9,Male
AGUSTIN,58923,57.6,Male
LUCAS,58007,14.7,Male
SAMUEL,57873,22.6,Male
JOSE RAMON,56741,55.4,Male
ISMAEL,56347,31.4,Male
CRISTIAN,55441,26.6,Male
JOAN,54350,42.7,Male
AITOR,52608,25.2,Male
FELIX,51854,59.1,Male
HECTOR,50849,23.2,Male
ALEX,48836,15.5,Male
IKER,48407,16.8,Male
JUAN FRANCISCO,46663,48.5,Male
JOSE CARLOS,44824,46.6,Male
MATEO,44434,16.3,Male
SEBASTIAN,42986,49.9,Male
CESAR,42813,41.9,Male
JOSEP,42744,54.9,Male
ALFREDO,41358,54.9,Male
MARIANO,41248,62.0,Male
RODRIGO,41126,24.1,Male
JOSE ANGEL,40710,47.4,Male
