Nombre,Frecuencia,Edad Media (*),Gender,Percentage,Popularity,Is_Compound,Character_Count,Syllable_Count
DAVID,370270,33.7,Male,1.708058102114815,5,False,5,2
JAVIER,308708,36.1,Male,1.4240721651434365,7,False,6,2
DANIEL,304423,29.5,Male,1.4043054301458346,8,False,6,2
ALEJANDRO,267256,27.8,Male,1.2328537989542685,13,False,9,4
LAURA,258046,31.6,Female,1.1645916935998184,5,False,5,2
MARTA,227834,32.6,Female,1.0282414140099867,12,False,5,2
CRISTINA,226985,37.2,Female,1.0244097779921209,13,False,8,3
PABLO,223789,28.9,Male,1.0323402236588766,19,False,5,2
LUCIA,214434,24.6,Female,0.9677656511838334,15,False,5,2
SERGIO,209553,31.4,Male,0.966669455998233,22,False,6,2
JORGE,193979,36.9,Male,0.894826484970777,25,False,5,2
ALBERTO,178696,39.7,Male,0.8243258989804978,27,False,7,3
PAULA,175287,22.1,Female,0.7910906745155181,21,False,5,2
SARA,175133,26.9,Female,0.7903956545546802,22,False,4,2
ALVARO,165999,24.3,Male,0.7657545490937886,28,False,6,3
ELENA,160887,38.6,Female,0.7261017950605473,23,False,5,3
ADRIAN,160291,21.7,Male,0.7394235051343229,30,False,6,2
DIEGO,155468,33.3,Male,0.7171749723703945,31,False,5,2
RAQUEL,147490,39.6,Female,0.6656395715842804,25,False,6,2
RAUL,141542,34.5,Male,0.6529342368799391,33,False,4,1
IVAN,136367,28.4,Male,0.6290619256517972,34,False,4,2
RUBEN,130060,30.4,Male,0.5999676904989678,35,False,5,2
JULIA,127083,38.5,Female,0.5735404005400034,32,False,5,2
OSCAR,123375,37.4,Male,0.5691297386999089,37,False,5,2
ALBA,122286,19.3,Female,0.5518909800715663,34,False,4,2
SILVIA,120320,39.5,Female,0.5430181927793112,35,False,6,2
IRENE,117979,28.7,Female,0.5324529867512497,37,False,5,3
PATRICIA,112197,35.3,Female,0.5063581464034274,38,False,8,3
ROCIO,109029,31.8,Female,0.4920605929233339,41,False,5,2
ANDREA,108829,25.4,Female,0.4911579695975703,42,False,6,2
MARIO,108579,26.0,Male,0.5008756871189253,44,False,5,2
VICTOR,106212,32.3,Male,0.4899566995484881,45,False,6,2
SANDRA,98016,33.0,Female,0.4423576394901676,49,False,6,2
MARINA,97899,33.9,Female,0.441829604844596,51,False,6,3
MARCOS,96470,26.6,Male,0.4450167853485731,49,False,6,2
NATALIA,94887,31.2,Female,0.428236097558598,54,False,7,3
HUGO,92792,12.3,Male,0.42805014560034,52,False,4,2
SOFIA,88326,18.9,Female,0.3986255393569269,57,False,5,2
CLAUDIA,86034,18.6,Female,0.3882814760436774,58,False,7,2
CARLA,82477,15.4,Female,0.3722283201949738,61,False,5,2
EVA,81731,35.3,Female,0.3688615351898761,62,False,3,2
NOELIA,74133,31.3,Female,0.3345708750441213,67,False,6,2
MARC,73307,22.5,Male,0.3381657041935093,58,False,4,1
GUILLERMO,73180,35.1,Male,0.3375798523044322,59,False,9,3
MOHAMED,72795,35.7,Male,0.3358038446091985,60,False,7,3
GABRIEL,72447,37.0,Male,0.3341985181729872,61,False,7,2
VERONICA,71776,37.0,Female,0.3239334591499987,69,False,8,4
MARTIN,70905,25.5,Male,0.327085261378051,62,False,6,2
GONZALO,69409,31.4,Male,0.3201842029051426,63,False,7,3
DANIELA,68928,15.4,Female,0.3110801029911267,70,False,7,3
NEREA,67687,21.6,Female,0.3054793252547643,71,False,5,2
CAROLINA,67465,35.6,Female,0.3044774133631668,72,False,8,4
INES,63756,35.2,Female,0.287738263786883,73,False,4,2
MIRIAM,63275,30.4,Female,0.2855674546884219,74,False,6,2
MARTINA,63007,15.6,Female,0.2843579394318988,76,False,7,3
LORENA,61923,31.9,Female,0.2794657210062607,78,False,6,3
NICOLAS,61194,28.9,Male,0.2822883503951548,69,False,7,3
LUCAS,58007,14.7,Male,0.2675866970842198,71,False,5,2
SAMUEL,57873,22.6,Male,0.2669685541461384,72,False,6,2
ISMAEL,56347,31.4,Male,0.2599291054632119,74,False,6,2
ALEJANDRA,55728,24.7,Female,0.2515069634907368,85,False,9,4
CRISTIAN,55441,26.6,Male,0.2557497211206618,75,False,8,2
LIDIA,53211,36.9,Female,0.2401474489360034,88,False,5,2
CELIA,53087,34.2,Female,0.23958782247403,89,False,5,2
AITOR,52608,25.2,Male,0.2426810722879416,77,False,5,2
FATIMA,51104,38.7,Female,0.2306383121990851,91,False,6,3
HECTOR,50849,23.2,Male,0.2345667929738737,79,False,6,2
AINHOA,50769,21.0,Female,0.2291264181284313,93,False,6,2
ALEX,48836,15.5,Male,0.2252808098816514,80,False,4,2
IKER,48407,16.8,Male,0.2233018298783909,81,False,4,2
CLARA,48352,29.8,Female,0.2182182152365796,95,False,5,2
ADRIANA,46343,20.5,Female,0.2091513639292854,98,False,7,3
ANNA,44906,33.4,Female,0.2026660153336748,101,False,4,2
MATEO,44434,16.3,Male,0.2049743530649787,84,False,5,2
VANESA,44421,37.5,Female,0.2004771537686983,102,False,6,3
BLANCA,42728,29.0,Female,0.1928364473161104,106,False,6,2
VALERIA,42565,10.4,Female,0.1921008093056132,107,False,7,3
EMMA,41659,15.2,Female,0.1880119256399046,110,False,4,2
RODRIGO,41126,24.1,Male,0.1897145259069702,90,False,7,3
LAIA,38423,17.3,Female,0.1734074802290515,116,False,4,1
ESTEFANIA,38151,34.7,Female,0.1721799125060131,118,False,9,4
NOA,36632,8.8,Female,0.1653244883468395,121,False,3,1
GEMA,36193,38.4,Female,0.1633432301467886,122,False,4,2
BELEN,34085,36.8,Female,0.1538295802932415,126,False,5,2
XAVIER,34008,37.3,Male,0.1568791420766484,98,False,6,2
ALBERT,33807,36.5,Male,0.1559519276695264,99,False,6,2
PAU,33525,18.4,Male,0.1546510596953551,101,False,3,1
TAMARA,33332,32.9,Female,0.150431203471742,129,False,6,3
VALENTINA,33215,26.2,Female,0.1499031688261703,130,False,9,4
AITANA,32844,11.6,Female,0.1482288025568791,132,False,6,3
ARIADNA,32690,15.9,Female,0.1475337825960412,133,False,7,3
AARON,31895,16.6,Male,0.1471318582843655,102,False,5,2
IZAN,31677,9.5,Male,0.1461262227582331,103,False,4,2
REBECA,31493,33.3,Female,0.1421315819913468,136,False,6,3
MIREIA,31111,28.5,Female,0.1404075714391385,137,False,6,2
CARLOTA,31075,18.1,Female,0.1402450992405011,138,False,7,3
ERIC,30914,16.0,Male,0.1426064984167698,104,False,4,2
ALMUDENA,30505,37.9,Female,0.1376726227620752,141,False,8,4
BORJA,30404,28.6,Male,0.1402538648464602,107,False,5,2
VANESSA,30335,37.3,Female,0.1369053929351762,142,False,7,3
MOHAMMED,30282,38.1,Male,0.1396910779923861,109,False,8,3
NOEMI,29679,33.2,Female,0.133944788426672,146,False,5,2
LARA,28611,17.6,Female,0.129124779867095,150,False,4,2
LEIRE,28255,19.1,Female,0.127518110347236,153,False,5,2
JOEL,28255,17.2,Male,0.1303405128021554,113,False,4,1
TANIA,28083,30.1,Female,0.1267418542870794,155,False,5,2
LEO,27988,5.8,Male,0.1291088399329933,114,False,3,1
DIANA,27878,29.6,Female,0.1258166653781718,158,False,5,2
ISAAC,27870,31.3,Male,0.1285645051069216,115,False,5,2
ASIER,27350,23.0,Male,0.1261657414666059,117,False,5,2
BRUNO,27164,17.4,Male,0.125307722164493,118,False,5,2
DARIO,26807,18.7,Male,0.1236608786652762,119,False,5,2
ANTONIO JESUS,26780,39.9,Male,0.1235363274762598,120,True,13,5
AINARA,26272,17.0,Female,0.1185686000722911,160,False,6,3
JESSICA,26141,31.9,Female,0.117977381793916,162,False,7,3
MARCO,26119,15.2,Male,0.1204871298488585,123,False,5,2
UNAI,25409,19.1,Male,0.1172118948784274,125,False,4,2
CANDELA,24975,11.6,Female,0.1127150878047149,164,False,7,3
ABEL,24893,33.7,Male,0.1148315832661141,128,False,4,2
JONATHAN,24336,29.7,Male,0.1122621383667759,130,False,8,3
MIKEL,23957,28.5,Male,0.1105138087135458,132,False,5,2
SERGI,23161,26.9,Male,0.1068418551410625,135,False,5,2
OMAR,22854,27.9,Male,0.1054256619918761,136,False,4,2
CHRISTIAN,22840,25.7,Male,0.1053610798938676,137,False,9,2
MOISES,22821,39.5,Male,0.1052734327608561,138,False,6,2
LOLA,22501,10.3,Female,0.1015496372650206,173,False,4,2
